case,detector,G1,G2,G3,G4,G5,G6,G7
A001,det0,83540065000000.0,393008560000000.0,1.60725628e+16,1.47823602e+16,2.49459444e+16,4807249100000000.0,7.0576398e+16
A001,det1,83308550000000.0,391900460000000.0,1.60227871e+16,1.50004012e+16,2.59300281e+16,4996267700000000.0,7.3349793e+16
A001,det2,83258393000000.0,391303270000000.0,1.59882601e+16,1.49892511e+16,2.61845765e+16,5045620700000000.0,7.41034e+16
A001,det3,82839219000000.0,389688150000000.0,1.59147234e+16,1.49231408e+16,2.63300038e+16,5075752100000000.0,7.4553625e+16
A001,det4,82538617000000.0,388236330000000.0,1.5845833e+16,1.48586812e+16,2.64683266e+16,5105355600000000.0,7.4992282e+16
A001,det5,82312856000000.0,386674000000000.0,1.5789233e+16,1.48005626e+16,2.65939359e+16,5131135800000000.0,7.5403519e+16
A001,det6,82121754000000.0,385945210000000.0,1.5745285e+16,1.47540759e+16,2.67323533e+16,5158594900000000.0,7.5832255e+16
A001,det7,81853520000000.0,384771920000000.0,1.56962052e+16,1.46993113e+16,2.69140035e+16,5196710400000000.0,7.6418437e+16
A001,det8,81765136000000.0,384180840000000.0,1.56544829e+16,1.46459647e+16,2.71406998e+16,5245874100000000.0,7.7147638e+16
A001,det9,81703007000000.0,383945030000000.0,1.56286648e+16,1.4609734e+16,2.7369707e+16,5292343600000000.0,7.7878969e+16
A001,det10,81838769000000.0,384401110000000.0,1.56180192e+16,1.45670356e+16,2.78381973e+16,5393099300000000.0,7.9386254e+16
A001,det11,82185231000000.0,385855030000000.0,1.56525349e+16,1.45635172e+16,2.82993594e+16,5491382800000000.0,8.0866537e+16
A001,det12,82676855000000.0,387993390000000.0,1.57175485e+16,1.45862394e+16,2.87597127e+16,5591526700000000.0,8.2347795e+16
A001,det13,83247696000000.0,390930520000000.0,1.58076627e+16,1.46328816e+16,2.92186289e+16,5687640400000000.0,8.3798931e+16
A001,det14,83947826000000.0,394177700000000.0,1.59216707e+16,1.46980997e+16,2.966532e+16,5786465400000000.0,8.5237072e+16
A001,det15,85693976000000.0,402093900000000.0,1.61934568e+16,1.48731229e+16,3.0543336e+16,5971257300000000.0,8.7998048e+16
A001,det16,87762350000000.0,411322070000000.0,1.65216024e+16,1.5090067e+16,3.1397671e+16,6152980700000000.0,9.0717855e+16
A001,det17,89857479000000.0,421210590000000.0,1.68801451e+16,1.53468793e+16,3.2248791e+16,6334586600000000.0,9.3404362e+16
A001,det18,92217767000000.0,431937750000000.0,1.7264161e+16,1.5618221e+16,3.306713e+16,6509013100000000.0,9.5974523e+16
A001,det19,94533057000000.0,442417910000000.0,1.76641512e+16,1.5904e+16,3.3874831e+16,6681179800000000.0,9.8514243e+16
A001,det20,96789764000000.0,453508490000000.0,1.80685515e+16,1.6199479e+16,3.4658998e+16,6850561200000000.0,1.01011424e+17
A001,det21,101344189000000.0,474095870000000.0,1.88373774e+16,1.67705883e+16,3.6161349e+16,7168534900000000.0,1.05740936e+17
A001,det22,105471505000000.0,493062530000000.0,1.95382242e+16,1.73018457e+16,3.7524485e+16,7465472900000000.0,1.10142064e+17
A001,det23,110084366000000.0,514691710000000.0,2.03526103e+16,1.79383416e+16,3.9293664e+16,7855673100000000.0,1.1590715e+17
A001,det24,113596797000000.0,530708520000000.0,2.09671594e+16,1.84643785e+16,4.1067142e+16,8260916900000000.0,1.21886693e+17
A001,det25,114437173000000.0,534722080000000.0,2.11422301e+16,1.86722566e+16,4.2251169e+16,8546153800000000.0,1.26147328e+17
A002,det0,52486528000000.0,247444273000000.0,1.0479324e+16,1.09136247e+16,2.24922063e+16,4409218900000000.0,6.4940941e+16
A002,det1,52217824000000.0,246427773000000.0,1.04191418e+16,1.1081811e+16,2.33536228e+16,4577367400000000.0,6.7413991e+16
A002,det2,52278108000000.0,246433288000000.0,1.04209832e+16,1.10971989e+16,2.35533178e+16,4617101900000000.0,6.8014035e+16
A002,det3,52297895000000.0,246416430000000.0,1.04114992e+16,1.10843161e+16,2.36854348e+16,4644255600000000.0,6.8405171e+16
A002,det4,52293679000000.0,246285449000000.0,1.04047706e+16,1.10685793e+16,2.3792207e+16,4665842700000000.0,6.8738875e+16
A002,det5,52256741000000.0,246306481000000.0,1.03982677e+16,1.10549257e+16,2.38887641e+16,4685640100000000.0,6.9039447e+16
A002,det6,52226770000000.0,246253102000000.0,1.03980249e+16,1.10416256e+16,2.39891398e+16,4705786700000000.0,6.9350676e+16
A002,det7,52340490000000.0,246478181000000.0,1.03984335e+16,1.10285208e+16,2.41216271e+16,4734644900000000.0,6.9772769e+16
A002,det8,52373532000000.0,247124330000000.0,1.04078794e+16,1.10176739e+16,2.42915987e+16,4769343300000000.0,7.0303812e+16
A002,det9,52611170000000.0,247646457000000.0,1.04202749e+16,1.1011646e+16,2.44599383e+16,4805504200000000.0,7.0843813e+16
A002,det10,52851233000000.0,249011095000000.0,1.04636259e+16,1.10173655e+16,2.48031353e+16,4879404800000000.0,7.1938314e+16
A002,det11,53264981000000.0,250917776000000.0,1.05252189e+16,1.10376622e+16,2.51509447e+16,4952284700000000.0,7.3034833e+16
A002,det12,53726838000000.0,253185450000000.0,1.06001826e+16,1.10717355e+16,2.548856e+16,5024983500000000.0,7.4122359e+16
A002,det13,54315295000000.0,255643379000000.0,1.06880736e+16,1.11166093e+16,2.58335833e+16,5098880100000000.0,7.5212738e+16
A002,det14,54922422000000.0,258446050000000.0,1.07839211e+16,1.11730507e+16,2.61747222e+16,5170718700000000.0,7.6302113e+16
A002,det15,56278251000000.0,264794624000000.0,1.10091332e+16,1.13105202e+16,2.68500336e+16,5314216800000000.0,7.845057e+16
A002,det16,57774169000000.0,271811493000000.0,1.12706339e+16,1.14820307e+16,2.75243991e+16,5459720500000000.0,8.0563723e+16
A002,det17,59476778000000.0,279669419000000.0,1.15590552e+16,1.16765739e+16,2.81924932e+16,5599369900000000.0,8.2663473e+16
A002,det18,61224291000000.0,288280719000000.0,1.18723709e+16,1.1897579e+16,2.88665566e+16,5742039100000000.0,8.4774534e+16
A002,det19,63233918000000.0,297450401000000.0,1.22120995e+16,1.21401123e+16,2.9540405e+16,5884820900000000.0,8.6861761e+16
A002,det20,65208397000000.0,306748506000000.0,1.25713068e+16,1.24001387e+16,3.0228542e+16,6029161800000000.0,8.8985484e+16
A002,det21,69710454000000.0,327469111000000.0,1.33411627e+16,1.29610941e+16,3.1593153e+16,6316650200000000.0,9.3231353e+16
A002,det22,74504188000000.0,349377129000000.0,1.41715761e+16,1.35726291e+16,3.2978495e+16,6607776600000000.0,9.7554201e+16
A002,det23,81718793000000.0,383240420000000.0,1.54459867e+16,1.45182176e+16,3.5042626e+16,7046880000000000.0,1.03982565e+17
A002,det24,90793932000000.0,425379260000000.0,1.70358379e+16,1.57150491e+16,3.7609703e+16,7597565700000000.0,1.12105156e+17
A002,det25,97956931000000.0,459169020000000.0,1.83110756e+16,1.66994905e+16,3.9800872e+16,8073710200000000.0,1.19145228e+17
A003,det0,28893928300000.0,135812760000000.0,5997551500000000.0,7515217200000000.0,2.01188323e+16,4071407600000000.0,6.0348169e+16
A003,det1,28728519100000.0,135006340000000.0,5949923800000000.0,7632409500000000.0,2.07997211e+16,4208802900000000.0,6.238039e+16
A003,det2,28825446900000.0,135255853000000.0,5954305500000000.0,7648581800000000.0,2.09386035e+16,4237137300000000.0,6.2808485e+16
A003,det3,28838849400000.0,135263469000000.0,5955186000000000.0,7649482800000000.0,2.10374627e+16,4257479100000000.0,6.3116847e+16
A003,det4,28843549400000.0,135362742000000.0,5958276600000000.0,7651917300000000.0,2.11183877e+16,4274093000000000.0,6.3358159e+16
A003,det5,28918165800000.0,135674183000000.0,5964318400000000.0,7651343600000000.0,2.1188674e+16,4289036200000000.0,6.3579295e+16
A003,det6,28910505300000.0,135738773000000.0,5968783000000000.0,7650111800000000.0,2.12536622e+16,4300496600000000.0,6.3774214e+16
A003,det7,28997914600000.0,136039462000000.0,5977028500000000.0,7649828600000000.0,2.13386637e+16,4321536200000000.0,6.4054202e+16
A003,det8,29066124900000.0,136446259000000.0,5989412500000000.0,7650756200000000.0,2.14437791e+16,4343599500000000.0,6.4389382e+16
A003,det9,29133304100000.0,136854511000000.0,6005259400000000.0,7652654900000000.0,2.1550793e+16,4367885600000000.0,6.4739921e+16
A003,det10,29316903800000.0,137627394000000.0,6036664300000000.0,7662469400000000.0,2.17659731e+16,4412507500000000.0,6.5414572e+16
A003,det11,29528854100000.0,138863915000000.0,6075665400000000.0,7678222500000000.0,2.19814819e+16,4459299300000000.0,6.6111422e+16
A003,det12,29803293600000.0,140007900000000.0,6116755300000000.0,7698264900000000.0,2.22032088e+16,4507456600000000.0,6.6822011e+16
A003,det13,30052952000000.0,141148351000000.0,6164023500000000.0,7724244100000000.0,2.24206079e+16,4555174600000000.0,6.7524824e+16
A003,det14,30345053600000.0,142391504000000.0,6214050800000000.0,7753342300000000.0,2.26398811e+16,4602632200000000.0,6.8222523e+16
A003,det15,30962530000000.0,145419774000000.0,6325237200000000.0,7822244100000000.0,2.30748619e+16,4696394700000000.0,6.960671e+16
A003,det16,31598839100000.0,148560069000000.0,6446820800000000.0,7904514700000000.0,2.35125735e+16,4790039800000000.0,7.1003695e+16
A003,det17,32343184000000.0,152045074000000.0,6582351000000000.0,7998742400000000.0,2.39408377e+16,4881298500000000.0,7.2363312e+16
A003,det18,33182092700000.0,156011078000000.0,6730252300000000.0,8105878700000000.0,2.43854355e+16,4976785300000000.0,7.3753328e+16
A003,det19,34036129200000.0,160006507000000.0,6890165600000000.0,8224010600000000.0,2.48203411e+16,5069646400000000.0,7.5121993e+16
A003,det20,34959392600000.0,164438562000000.0,7060108100000000.0,8351928300000000.0,2.52583224e+16,5161410500000000.0,7.6481496e+16
A003,det21,36989902000000.0,174110147000000.0,7438367500000000.0,8639113700000000.0,2.61544294e+16,5352514600000000.0,7.9264629e+16
A003,det22,39329508000000.0,185088933000000.0,7864252200000000.0,8967691200000000.0,2.70739758e+16,5546431900000000.0,8.2102127e+16
A003,det23,43354796000000.0,203867091000000.0,8592872900000000.0,9534221100000000.0,2.85293539e+16,5849370300000000.0,8.6559632e+16
A003,det24,49637581000000.0,233507361000000.0,9740123600000000.0,1.04296477e+16,3.0609227e+16,6284939800000000.0,9.2965051e+16
A003,det25,56914312000000.0,267861564000000.0,1.10728786e+16,1.14671854e+16,3.2849314e+16,6753740500000000.0,9.9835523e+16
A004,det0,122224196000000.0,573164560000000.0,2.30569243e+16,2.00927971e+16,3.0688591e+16,6038000200000000.0,8.9028685e+16
A004,det1,122141425000000.0,573074060000000.0,2.30513742e+16,2.03705007e+16,3.1789354e+16,6255840400000000.0,9.2260323e+16
A004,det2,121808133000000.0,571591710000000.0,2.29765729e+16,2.03258381e+16,3.210468e+16,6323224500000000.0,9.3248128e+16
A004,det3,120964077000000.0,567305550000000.0,2.27819933e+16,2.01669845e+16,3.2243005e+16,6355081100000000.0,9.3771426e+16
A004,det4,119828225000000.0,561802710000000.0,2.25782188e+16,1.99996431e+16,3.2356417e+16,6381881400000000.0,9.4210074e+16
A004,det5,118868986000000.0,557079550000000.0,2.23780884e+16,1.98303403e+16,3.2454559e+16,6406032000000000.0,9.4620517e+16
A004,det6,117781120000000.0,552478200000000.0,2.21752606e+16,1.96701829e+16,3.2554971e+16,6432373000000000.0,9.5038828e+16
A004,det7,116608540000000.0,546010290000000.0,2.19232762e+16,1.94675669e+16,3.266285e+16,6464367200000000.0,9.5506583e+16
A004,det8,114930576000000.0,539205200000000.0,2.16288726e+16,1.92249062e+16,3.2797073e+16,6498031000000000.0,9.6087243e+16
A004,det9,113479867000000.0,532031420000000.0,2.13482693e+16,1.90072804e+16,3.2923684e+16,6536172700000000.0,9.6666558e+16
A004,det10,111004866000000.0,520373840000000.0,2.08612985e+16,1.86174948e+16,3.3146694e+16,6599189300000000.0,9.7666281e+16
A004,det11,108705318000000.0,510137490000000.0,2.04424186e+16,1.82875475e+16,3.3356062e+16,6658872100000000.0,9.8648003e+16
A004,det12,107045964000000.0,501139790000000.0,2.00895931e+16,1.80135209e+16,3.3562006e+16,6718308700000000.0,9.9532495e+16
A004,det13,105134744000000.0,493542800000000.0,1.97821882e+16,1.77795527e+16,3.3743482e+16,6771470700000000.0,1.00369744e+17
A004,det14,103980474000000.0,487352910000000.0,1.95211774e+16,1.75764037e+16,3.3908434e+16,6820714900000000.0,1.01133442e+17
A004,det15,101693014000000.0,476543330000000.0,1.90884291e+16,1.72507337e+16,3.4246733e+16,6918594600000000.0,1.02620212e+17
A004,det16,99826821000000.0,467822990000000.0,1.87462354e+16,1.70015152e+16,3.4544762e+16,7004446500000000.0,1.03940154e+17
A004,det17,98325720000000.0,460757520000000.0,1.84617386e+16,1.67997762e+16,3.4830089e+16,7086849000000000.0,1.05185899e+17
A004,det18,97182808000000.0,454974220000000.0,1.82288208e+16,1.6633328e+16,3.5087094e+16,7160769600000000.0,1.06304947e+17
A004,det19,95833106000000.0,449758070000000.0,1.80179366e+16,1.64899582e+16,3.5333606e+16,7231802800000000.0,1.07370755e+17
A004,det20,94961528000000.0,444535640000000.0,1.78316566e+16,1.63649526e+16,3.5564621e+16,7299912700000000.0,1.08390073e+17
A004,det21,93089448000000.0,436370460000000.0,1.7503873e+16,1.61513552e+16,3.597089e+16,7418314900000000.0,1.1016974e+17
A004,det22,91479750000000.0,428753000000000.0,1.721491e+16,1.59739028e+16,3.6314108e+16,7521074600000000.0,1.1171662e+17
A004,det23,89196493000000.0,418565390000000.0,1.68238751e+16,1.57284461e+16,3.6753254e+16,7657160800000000.0,1.13753848e+17
A004,det24,86695633000000.0,405986820000000.0,1.63674204e+16,1.54552928e+16,3.7203049e+16,7802772000000000.0,1.15984595e+17
A004,det25,84263242000000.0,395048360000000.0,1.59532811e+16,1.51988483e+16,3.7545086e+16,7922431000000000.0,1.17754054e+17
A005,det0,77835241000000.0,367056430000000.0,1.51850956e+16,1.46060251e+16,2.6535188e+16,5285450500000000.0,7.809845e+16
A005,det1,77682437000000.0,366206390000000.0,1.51492736e+16,1.48193233e+16,2.7504769e+16,5480176700000000.0,8.0964367e+16
A005,det2,77781103000000.0,366562520000000.0,1.5162173e+16,1.48464106e+16,2.77736651e+16,5535252200000000.0,8.1810287e+16
A005,det3,77656214000000.0,366384240000000.0,1.51332815e+16,1.48149158e+16,2.79283231e+16,5568699700000000.0,8.2306678e+16
A005,det4,77691481000000.0,365650740000000.0,1.50996526e+16,1.47749067e+16,2.80456425e+16,5595095600000000.0,8.2737003e+16
A005,det5,77506165000000.0,364877220000000.0,1.50651648e+16,1.4735006e+16,2.8162088e+16,5620416500000000.0,8.3118182e+16
A005,det6,77324847000000.0,364153470000000.0,1.5030175e+16,1.46912822e+16,2.82708007e+16,5648092800000000.0,8.3522385e+16
A005,det7,77130740000000.0,363134630000000.0,1.49805644e+16,1.46365547e+16,2.84081181e+16,5679242000000000.0,8.4038019e+16
A005,det8,76984588000000.0,362301130000000.0,1.49237704e+16,1.45706636e+16,2.85798143e+16,5719490900000000.0,8.4646427e+16
A005,det9,76725136000000.0,361038080000000.0,1.48682819e+16,1.4511449e+16,2.87451642e+16,5757216600000000.0,8.5236789e+16
A005,det10,76353245000000.0,359174430000000.0,1.47793808e+16,1.4407555e+16,2.90611813e+16,5835197800000000.0,8.6406709e+16
A005,det11,76096539000000.0,357729910000000.0,1.47056819e+16,1.43190627e+16,2.9350718e+16,5906466700000000.0,8.7505288e+16
A005,det12,75894494000000.0,357127040000000.0,1.4656219e+16,1.42525167e+16,2.9641959e+16,5977376300000000.0,8.8588774e+16
A005,det13,75800205000000.0,356297280000000.0,1.46157848e+16,1.42014202e+16,2.9928534e+16,6047189400000000.0,8.9664693e+16
A005,det14,75765187000000.0,356261810000000.0,1.45909707e+16,1.41665871e+16,3.019983e+16,6113863500000000.0,9.0666131e+16
A005,det15,75830355000000.0,356380750000000.0,1.45814019e+16,1.41279291e+16,3.0721769e+16,6241286000000000.0,9.2600559e+16
A005,det16,76105441000000.0,357781090000000.0,1.46048815e+16,1.41202103e+16,3.1217323e+16,6363924400000000.0,9.4425926e+16
A005,det17,76430432000000.0,359142240000000.0,1.46473875e+16,1.41382312e+16,3.1686568e+16,6476327200000000.0,9.6142567e+16
A005,det18,76919947000000.0,361273610000000.0,1.47047687e+16,1.41716249e+16,3.2131975e+16,6586377400000000.0,9.7786856e+16
A005,det19,77345396000000.0,363154850000000.0,1.4774037e+16,1.42144674e+16,3.2555135e+16,6689409500000000.0,9.9326952e+16
A005,det20,77744050000000.0,365485410000000.0,1.48417561e+16,1.42629366e+16,3.2965196e+16,6790168900000000.0,1.00839259e+17
A005,det21,78565049000000.0,369132620000000.0,1.49808906e+16,1.43702937e+16,3.3715544e+16,6973922800000000.0,1.03582974e+17
A005,det22,79437331000000.0,372454640000000.0,1.51033946e+16,1.44684237e+16,3.4390593e+16,7142659400000000.0,1.06093228e+17
A005,det23,80107716000000.0,375917900000000.0,1.5226918e+16,1.45880319e+16,3.5263716e+16,7361445000000000.0,1.09400264e+17
A005,det24,80499767000000.0,377538530000000.0,1.52871549e+16,1.46738125e+16,3.6193909e+16,7603491300000000.0,1.13000374e+17
A005,det25,80006292000000.0,375856640000000.0,1.52272482e+16,1.46762618e+16,3.6886575e+16,7793444700000000.0,1.15827892e+17
A006,det0,43420373000000.0,204791193000000.0,8829972600000000.0,9928378000000000.0,2.28621161e+16,4659326500000000.0,6.9159313e+16
A006,det1,43280603000000.0,203878672000000.0,8779229400000000.0,1.00831861e+16,2.36723161e+16,4825103900000000.0,7.1625051e+16
A006,det2,43409630000000.0,204429443000000.0,8798087200000000.0,1.01144492e+16,2.38634518e+16,4866195200000000.0,7.2212028e+16
A006,det3,43395718000000.0,204816664000000.0,8803187600000000.0,1.01181058e+16,2.39862481e+16,4892221600000000.0,7.2601862e+16
A006,det4,43590599000000.0,204893435000000.0,8809061700000000.0,1.01166683e+16,2.40828841e+16,4912987900000000.0,7.2939757e+16
A006,det5,43552009000000.0,205285959000000.0,8817929300000000.0,1.01147067e+16,2.41669118e+16,4932527300000000.0,7.3223874e+16
A006,det6,43647495000000.0,205390633000000.0,8823639200000000.0,1.01099998e+16,2.42482536e+16,4948798700000000.0,7.3497227e+16
A006,det7,43660428000000.0,205722493000000.0,8831094700000000.0,1.01029087e+16,2.43454591e+16,4972953200000000.0,7.3845493e+16
A006,det8,43722805000000.0,206077129000000.0,8839777100000000.0,1.00972095e+16,2.44767958e+16,5003411900000000.0,7.4297176e+16
A006,det9,43813384000000.0,206371487000000.0,8847864500000000.0,1.00907622e+16,2.460229e+16,5032412100000000.0,7.4736775e+16
A006,det10,44026606000000.0,207320527000000.0,8869969300000000.0,1.00832458e+16,2.48484657e+16,5088693100000000.0,7.5605962e+16
A006,det11,44211891000000.0,208124812000000.0,8897654100000000.0,1.0079614e+16,2.5086553e+16,5144517800000000.0,7.6453343e+16
A006,det12,44433020000000.0,209285463000000.0,8933173000000000.0,1.00862407e+16,2.53263817e+16,5201028900000000.0,7.729844e+16
A006,det13,44691073000000.0,210417421000000.0,8972587800000000.0,1.00953581e+16,2.55583541e+16,5257105300000000.0,7.8121709e+16
A006,det14,44989004000000.0,211896895000000.0,9015209400000000.0,1.01125116e+16,2.57915293e+16,5310584600000000.0,7.8966124e+16
A006,det15,45616904000000.0,214725692000000.0,9120445400000000.0,1.01626713e+16,2.62605568e+16,5420932800000000.0,8.0592335e+16
A006,det16,46347167000000.0,218355582000000.0,9242780700000000.0,1.02301642e+16,2.67060566e+16,5524147900000000.0,8.2164273e+16
A006,det17,47141683000000.0,222010337000000.0,9376046800000000.0,1.0314302e+16,2.71512494e+16,5629578300000000.0,8.3727903e+16
A006,det18,47990191000000.0,225883339000000.0,9521296100000000.0,1.04073897e+16,2.75842046e+16,5733252200000000.0,8.5238951e+16
A006,det19,48869659000000.0,229994388000000.0,9678878500000000.0,1.05138241e+16,2.80177601e+16,5832709000000000.0,8.6748574e+16
A006,det20,49855606000000.0,234491863000000.0,9844472600000000.0,1.0628351e+16,2.84401775e+16,5931134300000000.0,8.8205185e+16
A006,det21,51795881000000.0,243721186000000.0,1.01918767e+16,1.08803491e+16,2.92772616e+16,6123655900000000.0,9.1076163e+16
A006,det22,53859583000000.0,253500997000000.0,1.05627526e+16,1.11530366e+16,3.0114126e+16,6316822800000000.0,9.3938555e+16
A006,det23,57133432000000.0,268535267000000.0,1.11276632e+16,1.15851533e+16,3.1324405e+16,6596205600000000.0,9.8098863e+16
A006,det24,61250152000000.0,287779201000000.0,1.18613717e+16,1.21541673e+16,3.2842089e+16,6948684200000000.0,1.03329206e+17
A006,det25,64808230000000.0,304295474000000.0,1.25059993e+16,1.26701828e+16,3.4228493e+16,7272398500000000.0,1.08116367e+17
A007,det0,219607459000000.0,1026361400000000.0,4.0465677e+16,3.3208231e+16,4.4442681e+16,8623622800000000.0,1.27317663e+17
A007,det1,220631825000000.0,1031103740000000.0,4.0650983e+16,3.3654707e+16,4.5833108e+16,8897621200000000.0,1.3135944e+17
A007,det2,218561612000000.0,1021356850000000.0,4.0246406e+16,3.3362586e+16,4.6126174e+16,8967874000000000.0,1.32513156e+17
A007,det3,213628807000000.0,997243270000000.0,3.9318206e+16,3.2661267e+16,4.5970786e+16,8951366300000000.0,1.32383358e+17
A007,det4,208048013000000.0,971039580000000.0,3.8277629e+16,3.1881269e+16,4.5673929e+16,8910583700000000.0,1.31848668e+17
A007,det5,201805704000000.0,943152480000000.0,3.7213094e+16,3.1078405e+16,4.5296653e+16,8852232000000000.0,1.31126061e+17
A007,det6,196018124000000.0,916130170000000.0,3.6144499e+16,3.02830747e+16,4.4873319e+16,8780988700000000.0,1.30166923e+17
A007,det7,188445786000000.0,880549770000000.0,3.4768245e+16,2.92608026e+16,4.4289267e+16,8690062400000000.0,1.28878689e+17
A007,det8,179495181000000.0,839106080000000.0,3.3167217e+16,2.80676723e+16,4.3547683e+16,8569240800000000.0,1.27144087e+17
A007,det9,171540474000000.0,801493230000000.0,3.1710628e+16,2.69858638e+16,4.286079e+16,8453849700000000.0,1.25533737e+17
A007,det10,157675316000000.0,737464150000000.0,2.92488941e+16,2.5166171e+16,4.1611143e+16,8243133000000000.0,1.22539663e+17
A007,det11,146909836000000.0,687356110000000.0,2.72950363e+16,2.37201891e+16,4.0597973e+16,8076111600000000.0,1.20126375e+17
A007,det12,138139039000000.0,646991910000000.0,2.57377581e+16,2.25722714e+16,3.9785505e+16,7943377300000000.0,1.18186022e+17
A007,det13,131269832000000.0,614429200000000.0,2.44868429e+16,2.16485684e+16,3.9137138e+16,7837790100000000.0,1.16655369e+17
A007,det14,125563265000000.0,588090360000000.0,2.34630921e+16,2.08900716e+16,3.8606238e+16,7754954000000000.0,1.15450785e+17
A007,det15,116893512000000.0,547635280000000.0,2.18981339e+16,1.97393556e+16,3.784168e+16,7638996500000000.0,1.1379139e+17
A007,det16,110408223000000.0,517198300000000.0,2.07377985e+16,1.88861813e+16,3.732159e+16,7566053700000000.0,1.12747772e+17
A007,det17,105369243000000.0,493934170000000.0,1.98423837e+16,1.82315574e+16,3.6930833e+16,7514953600000000.0,1.12030529e+17
A007,det18,101448627000000.0,475690350000000.0,1.91284675e+16,1.77059932e+16,3.6648097e+16,7486269300000000.0,1.11578349e+17
A007,det19,98215201000000.0,460285470000000.0,1.85411461e+16,1.72842701e+16,3.6448591e+16,7467415500000000.0,1.11328799e+17
A007,det20,95354991000000.0,447575390000000.0,1.80533321e+16,1.69282068e+16,3.629256e+16,7454943100000000.0,1.11182278e+17
A007,det21,91121687000000.0,427197490000000.0,1.72846647e+16,1.6376689e+16,3.6095763e+16,7453823500000000.0,1.11172013e+17
A007,det22,87701895000000.0,411885210000000.0,1.66894142e+16,1.59509693e+16,3.5991665e+16,7464972200000000.0,1.11349582e+17
A007,det23,84041614000000.0,394545020000000.0,1.60255351e+16,1.54892711e+16,3.5942807e+16,7498182800000000.0,1.11880736e+17
A007,det24,80340453000000.0,377712740000000.0,1.53817962e+16,1.50495098e+16,3.5979483e+16,7556781100000000.0,1.12784165e+17
A007,det25,77757572000000.0,364979330000000.0,1.49040409e+16,1.47246301e+16,3.6065906e+16,7616823300000000.0,1.13684153e+17
A008,det0,142985524000000.0,670955750000000.0,2.69701285e+16,2.36051718e+16,3.596309e+16,7028084300000000.0,1.03916411e+17
A008,det1,143269502000000.0,672003770000000.0,2.70297943e+16,2.39407306e+16,3.7149196e+16,7262199200000000.0,1.07396109e+17
A008,det2,143506305000000.0,673423470000000.0,2.70632572e+16,2.39799347e+16,3.7569849e+16,7349614100000000.0,1.0873283e+17
A008,det3,142793222000000.0,669751490000000.0,2.68961008e+16,2.38353758e+16,3.7714933e+16,7386368400000000.0,1.0935059e+17
A008,det4,141681953000000.0,663954390000000.0,2.66672367e+16,2.36432744e+16,3.7795454e+16,7413457800000000.0,1.09756658e+17
A008,det5,140276362000000.0,657334030000000.0,2.63943001e+16,2.3415303e+16,3.7823573e+16,7426822100000000.0,1.10025819e+17
A008,det6,138651741000000.0,649750520000000.0,2.6098536e+16,2.3178484e+16,3.7831883e+16,7437835600000000.0,1.10233389e+17
A008,det7,136396015000000.0,639777020000000.0,2.56843603e+16,2.28445249e+16,3.7780791e+16,7440030700000000.0,1.10316383e+17
A008,det8,133713827000000.0,626503740000000.0,2.51500143e+16,2.24192101e+16,3.7685406e+16,7437010100000000.0,1.10325707e+17
A008,det9,130742912000000.0,612932820000000.0,2.46205249e+16,2.2003295e+16,3.7567038e+16,7428212100000000.0,1.10242049e+17
A008,det10,125465788000000.0,588321980000000.0,2.36378111e+16,2.12311248e+16,3.7296658e+16,7400997500000000.0,1.09973518e+17
A008,det11,120735598000000.0,566147130000000.0,2.27626738e+16,2.05540543e+16,3.7029719e+16,7375361900000000.0,1.09632213e+17
A008,det12,116699471000000.0,547096240000000.0,2.20063373e+16,1.99648695e+16,3.6781344e+16,7348944700000000.0,1.09294239e+17
A008,det13,113158141000000.0,530624200000000.0,2.13502977e+16,1.94613282e+16,3.6566905e+16,7329110800000000.0,1.09048811e+17
A008,det14,110027415000000.0,516333150000000.0,2.07847264e+16,1.9027056e+16,3.6388187e+16,7311372000000000.0,1.08833391e+17
A008,det15,105040233000000.0,492775310000000.0,1.98650381e+16,1.83233505e+16,3.6121921e+16,7295176000000000.0,1.08631575e+17
A008,det16,101181305000000.0,474585060000000.0,1.91380013e+16,1.77719955e+16,3.5931773e+16,7287515700000000.0,1.0855432e+17
A008,det17,97983633000000.0,459414010000000.0,1.8555331e+16,1.73309084e+16,3.5801827e+16,7288342900000000.0,1.08602623e+17
A008,det18,95228472000000.0,447090920000000.0,1.80707207e+16,1.69687997e+16,3.5707502e+16,7292562900000000.0,1.08725727e+17
A008,det19,93034826000000.0,436624640000000.0,1.76574365e+16,1.66630886e+16,3.5652104e+16,7304975600000000.0,1.08900999e+17
A008,det20,91013987000000.0,427491250000000.0,1.73067091e+16,1.64079927e+16,3.5618936e+16,7318983000000000.0,1.09126339e+17
A008,det21,87964844000000.0,412697080000000.0,1.67439711e+16,1.5994411e+16,3.5598688e+16,7353042400000000.0,1.09659785e+17
A008,det22,85424632000000.0,401256820000000.0,1.62882447e+16,1.56722971e+16,3.5617263e+16,7387666300000000.0,1.10224177e+17
A008,det23,82389182000000.0,387198930000000.0,1.57549251e+16,1.52996275e+16,3.5694131e+16,7448337900000000.0,1.11147783e+17
A008,det24,79536415000000.0,373545500000000.0,1.52228948e+16,1.49378495e+16,3.584596e+16,7529031100000000.0,1.12359024e+17
A008,det25,77146008000000.0,362267430000000.0,1.48064639e+16,1.4661992e+16,3.6001576e+16,7603323700000000.0,1.13514679e+17
